City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,17.65,96,100,8.05,PT,1682223584
1,papatowai,-46.5619,169.4708,14.23,81,90,9.61,NZ,1682223417
2,inhambane,-23.865,35.3833,21.99,88,40,2.06,MZ,1682223584
3,lihue,21.9789,-159.3672,26.58,81,100,4.63,US,1682223585
4,wicklow,53.0,-6.4167,3.07,95,100,1.08,IE,1682223585
5,adamstown,-25.066,-130.1015,24.06,91,100,5.79,PN,1682223402
6,filipstad,59.7124,14.1683,8.42,75,100,3.61,SE,1682223585
7,lebu,-37.6167,-73.65,11.09,89,4,5.71,CL,1682223429
8,hermanus,-34.4187,19.2345,16.02,87,63,5.25,ZA,1682223405
9,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,52,75,3.0,RU,1682223585
10,boca suno,-0.7167,-77.1333,21.93,97,97,0.82,EC,1682223375
11,saipan,15.1355,145.701,30.39,100,40,7.2,MP,1682223585
12,labuan bajo,-8.4964,119.8877,28.96,65,12,1.89,ID,1682223586
13,taro,-8.3862,115.28,27.0,60,26,1.46,ID,1682223586
14,puerto natales,-51.7236,-72.4875,7.63,93,100,4.91,CL,1682223413
15,mossel bay,-34.1831,22.146,19.96,62,81,3.06,ZA,1682223586
16,sitka,57.0531,-135.33,6.94,87,100,2.06,US,1682223586
17,talnakh,69.4865,88.3972,0.67,87,100,7.55,RU,1682223586
18,whitehorse,60.7161,-135.0538,7.43,42,75,1.54,CA,1682223586
19,ushuaia,-54.8,-68.3,5.81,81,100,14.4,AR,1682223402
20,badger,64.8,-147.5333,-5.27,56,75,8.23,US,1682223402
21,albany,42.6001,-73.9662,13.13,93,100,1.34,US,1682223581
22,kapuskasing,49.4169,-82.4331,0.05,100,100,3.6,CA,1682223406
23,wailua homesteads,22.0669,-159.378,26.24,85,100,4.63,US,1682223407
24,acapulco de juarez,16.8634,-99.8901,26.9,78,75,1.03,MX,1682223440
25,la ronge,55.1001,-105.2842,-0.55,68,2,3.2,CA,1682223326
26,port moresby,-9.4431,147.1797,28.82,72,100,2.65,PG,1682223587
27,coyhaique,-45.5752,-72.0662,9.97,57,0,3.6,CL,1682223587
28,katsuura,35.1333,140.3,12.49,64,100,5.26,JP,1682223431
29,crane,31.3974,-102.3501,9.69,50,0,13.47,US,1682223451
30,jamestown,42.097,-79.2353,8.77,92,75,2.24,US,1682223462
31,stanley,54.868,-1.6985,5.01,94,100,2.06,GB,1682223588
32,yuzhno-kurilsk,44.0306,145.8556,5.56,67,90,1.99,RU,1682223588
33,grytviken,-54.2811,-36.5092,0.88,78,51,8.52,GS,1682223404
34,taroa,8.7058,171.2275,27.73,81,17,7.89,MH,1682223437
35,lincoln city,44.9582,-124.0179,13.36,94,100,1.34,US,1682223588
36,hamilton,39.1834,-84.5333,5.97,67,20,4.63,US,1682223588
37,labrador city,52.9463,-66.9114,1.18,92,100,3.25,CA,1682223313
38,waitangi,-43.9535,-176.5597,14.9,83,11,0.89,NZ,1682223588
39,nagqu,31.5,92.0,-0.14,38,100,5.42,CN,1682223589
40,havre,49.5833,0.3333,10.87,87,0,5.14,FR,1682223589
41,tirano,46.2154,10.1679,13.51,93,100,0.95,IT,1682223589
42,bandarbeyla,9.4942,50.8122,28.07,64,86,2.73,SO,1682223589
43,college,64.8569,-147.8028,-5.23,56,75,8.23,US,1682223409
44,aasiaat,68.7098,-52.8699,-2.05,97,100,3.03,GL,1682223589
45,dakhla,23.6848,-15.958,18.7,88,7,7.19,EH,1682223589
46,ha tinh,18.3333,105.9,34.79,51,31,3.17,VN,1682223589
47,howard springs,-12.497,131.047,32.77,50,0,5.69,AU,1682223420
48,bilibino,68.0546,166.4372,1.25,94,4,1.25,RU,1682223402
49,luderitz,-26.6481,15.1594,15.44,52,100,3.63,NA,1682223590
50,iskateley,67.6803,53.1512,-6.48,72,52,6.82,RU,1682223590
51,st. john's,47.5649,-52.7093,3.21,98,100,12.96,CA,1682223522
52,tongliao,43.6125,122.2653,12.0,8,92,5.49,CN,1682223590
53,hithadhoo,-0.6,73.0833,29.11,71,96,1.63,MV,1682223436
54,edinburgh of the seven seas,-37.0676,-12.3116,15.72,71,66,9.97,SH,1682223403
55,port-aux-francais,-49.35,70.2167,8.89,97,100,18.91,TF,1682223591
56,tiksi,71.6872,128.8694,-4.46,80,35,0.76,RU,1682223591
57,bethel,41.3712,-73.414,12.79,89,100,2.57,US,1682223317
58,blackmans bay,-43.0167,147.3167,16.96,51,90,1.1,AU,1682223591
59,punta cana,18.5818,-68.4043,23.87,88,100,2.57,DO,1682223573
60,vila franca do campo,37.7167,-25.4333,17.23,96,100,7.31,PT,1682223430
61,vadso,70.0744,29.7487,-2.91,80,100,10.29,NO,1682223591
62,fortuna,40.5982,-124.1573,11.86,90,28,1.16,US,1682223468
63,oranjemund,-28.55,16.4333,13.38,44,38,1.67,NA,1682223592
64,rabo de peixe,37.8,-25.5833,16.73,100,75,5.66,PT,1682223592
65,kodiak,57.79,-152.4072,9.73,29,0,6.17,US,1682223401
66,khorramabad,33.4878,48.3558,14.79,63,0,4.12,IR,1682223592
67,bredasdorp,-34.5322,20.0403,14.52,84,50,3.64,ZA,1682223592
68,hell-ville,-13.4,48.2667,24.93,80,40,1.03,MG,1682223592
69,avarua,-21.2078,-159.775,25.03,73,31,2.06,CK,1682223405
70,west island,-12.1568,96.8225,28.99,79,40,4.63,CC,1682223592
71,yellowknife,62.456,-114.3525,5.29,48,40,3.09,CA,1682223408
72,vilyuchinsk,52.9306,158.4028,6.15,97,98,2.11,RU,1682223453
73,jimma,7.6667,36.8333,16.12,86,89,0.45,ET,1682223593
74,borzya,50.3833,116.5167,5.5,14,1,5.27,RU,1682223593
75,queenstown,-31.8976,26.8753,11.64,24,90,2.13,ZA,1682223593
76,saldanha,-33.0117,17.9442,15.06,93,100,8.98,ZA,1682223439
77,kuraymah,18.55,31.85,28.45,14,50,5.59,SD,1682223593
78,essaouira,31.5125,-9.77,16.97,84,44,9.66,MA,1682223593
79,puerto ayora,-0.7393,-90.3518,25.86,90,63,2.24,EC,1682223593
80,puerto baquerizo moreno,-0.9,-89.6,25.99,77,44,4.98,EC,1682223428
81,georgetown,5.4112,100.3354,32.96,69,20,2.57,MY,1682223594
82,dryden,49.7833,-92.7503,-1.84,50,0,0.0,CA,1682223594
83,kuanda,56.3161,116.0806,1.44,48,6,1.79,RU,1682223594
84,hirara,24.8,125.2833,26.15,73,40,4.63,JP,1682223594
85,chonchi,-42.6128,-73.8092,5.62,93,64,0.76,CL,1682223407
86,pitimbu,-7.4706,-34.8086,26.33,77,57,5.75,BR,1682223594
87,kyaikto,17.3,97.0167,33.32,57,5,4.65,MM,1682223594
88,gagarin,55.5529,34.9954,9.44,66,84,2.35,RU,1682223594
89,kapa'a,22.0752,-159.319,26.99,85,100,4.63,US,1682223595
90,la passe,45.5549,-0.8967,12.21,88,100,3.97,FR,1682223438
91,port augusta,-32.5,137.7667,26.92,25,0,3.19,AU,1682223595
92,hinton,53.4001,-117.5857,2.04,91,100,1.13,CA,1682223595
93,porto velho,-8.7619,-63.9039,25.03,94,20,1.54,BR,1682223595
94,fomento,22.1039,-79.7217,20.86,85,2,0.87,CU,1682223595
95,kabo,7.6994,18.629,23.99,73,94,3.94,CF,1682223595
96,chengde,40.9725,117.9361,13.94,12,100,4.83,CN,1682223595
97,flying fish cove,-10.4217,105.6791,27.37,78,54,7.18,CX,1682223323
98,lompoc,34.6391,-120.4579,12.08,89,13,0.89,US,1682223596
99,new norfolk,-42.7826,147.0587,17.73,35,88,2.24,AU,1682223596
100,la'ie,21.6477,-157.9253,26.98,74,56,2.24,US,1682223596
101,tizimin,21.15,-88.15,24.02,82,38,2.71,MX,1682223596
102,ilulissat,69.2167,-51.1,-0.99,93,100,2.06,GL,1682223596
103,tazacorte,28.629,-17.9293,19.54,86,100,3.09,ES,1682223415
104,port elizabeth,-33.918,25.5701,15.61,95,20,1.03,ZA,1682223596
105,brisas de zicatela,15.8369,-97.0419,27.29,74,20,0.0,MX,1682223596
106,ust-nera,64.5667,143.2,-0.92,84,100,3.0,RU,1682223597
107,olonkinbyen,70.9221,-8.7187,-3.67,59,8,5.74,SJ,1682223412
108,benguela,-12.5763,13.4055,25.26,78,97,1.24,AO,1682223597
109,iqaluit,63.7506,-68.5145,-1.15,100,100,8.49,CA,1682223589
